lga_name,postcode,suburb,crime_id,crime_name,average_incident
Banyule,3087,watsonia north,B40,Theft,31.6
Banyule,3087,watsonia north,B50,Deception,2.625
Banyule,3087,watsonia north,C10,Drug dealing and trafficking,1.8333333333333333
Banyule,3087,watsonia north,C20,Cultivate or manufacture drugs,1.0
Banyule,3087,watsonia north,C30,Drug use and possession,2.5555555555555562
Banyule,3087,watsonia north,D10,Weapons and explosives offences,2.333333333333333
Banyule,3087,watsonia north,D20,Disorderly and offensive conduct,1.0
Banyule,3087,watsonia north,D30,Public nuisance offences,1.0
Banyule,3087,watsonia north,E10,Justice procedures,3.0
Banyule,3087,watsonia north,E20,Breaches of orders,7.9
Banyule,3087,watsonia north,F90,Miscellaneous offences,10.0
Banyule,3087,watsonia north,Other,crimes against the person,3.1
Banyule,3088,briar hill,A20,Assault and related offences,7.9
Banyule,3088,briar hill,A50,Robbery,1.0
Banyule,3088,briar hill,A70,"Stalking, harassment and threatening behaviour",2.0
Banyule,3088,briar hill,A80,Dangerous and negligent acts endangering people,1.0
Banyule,3088,briar hill,B10,Arson,2.0
Banyule,3088,briar hill,B20,Property damage,9.5
Banyule,3088,briar hill,B30,Burglary/Break and enter,15.6
Banyule,3088,briar hill,B40,Theft,30.0
Banyule,3088,briar hill,B50,Deception,3.125
Banyule,3088,briar hill,C10,Drug dealing and trafficking,2.2
Banyule,3088,briar hill,C20,Cultivate or manufacture drugs,1.0
Banyule,3088,briar hill,C30,Drug use and possession,1.8
Banyule,3088,briar hill,D10,Weapons and explosives offences,2.2
Banyule,3088,briar hill,D20,Disorderly and offensive conduct,1.0
Banyule,3088,briar hill,D30,Public nuisance offences,1.0
Banyule,3088,briar hill,E10,Justice procedures,1.4
Banyule,3088,briar hill,E20,Breaches of orders,6.4444444444444455
Banyule,3088,briar hill,F90,Miscellaneous offences,5.0
Banyule,3088,briar hill,Other,crimes against the person,2.4444444444444446
Banyule,3088,greensborough,A50,Robbery,5.7
Banyule,3088,greensborough,A70,"Stalking, harassment and threatening behaviour",13.9
Banyule,3088,greensborough,A80,Dangerous and negligent acts endangering people,7.5
Banyule,3088,greensborough,B10,Arson,3.6666666666666665
Banyule,3088,greensborough,C10,Drug dealing and trafficking,3.8
Banyule,3088,greensborough,C20,Cultivate or manufacture drugs,2.375
Banyule,3088,greensborough,C30,Drug use and possession,21.6
Banyule,3088,greensborough,D10,Weapons and explosives offences,13.6
Banyule,3088,greensborough,D20,Disorderly and offensive conduct,18.0
Banyule,3088,greensborough,D30,Public nuisance offences,5.3
Banyule,3088,greensborough,D40,Public security offences,1.0
Banyule,3088,greensborough,E10,Justice procedures,11.5
Banyule,3088,greensborough,F20,Transport regulation offences,1.3333333333333333
Banyule,3088,greensborough,F30,Other government regulatory offences,2.0
Banyule,3088,greensborough,F90,Miscellaneous offences,10.166666666666666
Banyule,3088,greensborough,Other,crimes against the person,16.8
Banyule,3093,lower plenty,A20,Assault and related offences,13.1
Banyule,3093,lower plenty,A50,Robbery,1.6
Banyule,3093,lower plenty,A70,"Stalking, harassment and threatening behaviour",2.8
Banyule,3093,lower plenty,A80,Dangerous and negligent acts endangering people,2.142857142857143
Banyule,3093,lower plenty,B10,Arson,1.6666666666666667
Banyule,3093,lower plenty,B20,Property damage,15.1
Banyule,3093,lower plenty,B30,Burglary/Break and enter,27.1
Banyule,3093,lower plenty,B40,Theft,42.7
Banyule,3093,lower plenty,B50,Deception,5.2
Banyule,3093,lower plenty,C10,Drug dealing and trafficking,1.4
Banyule,3093,lower plenty,C20,Cultivate or manufacture drugs,1.6666666666666667
Banyule,3093,lower plenty,C30,Drug use and possession,3.6
Banyule,3093,lower plenty,C90,Other drug offences,1.0
Banyule,3093,lower plenty,D10,Weapons and explosives offences,2.7777777777777777
Banyule,3093,lower plenty,D20,Disorderly and offensive conduct,5.8
Banyule,3093,lower plenty,D30,Public nuisance offences,1.4285714285714286
Banyule,3093,lower plenty,E10,Justice procedures,3.0
Banyule,3093,lower plenty,E20,Breaches of orders,6.8
Banyule,3093,lower plenty,F10,Regulatory driving offences,1.0
Banyule,3093,lower plenty,F30,Other government regulatory offences,2.0
Banyule,3093,lower plenty,F90,Miscellaneous offences,3.0
Banyule,3093,lower plenty,Other,crimes against the person,3.6666666666666665
Banyule,3094,montmorency,A20,Assault and related offences,23.5
Banyule,3094,montmorency,A50,Robbery,1.2
Banyule,3094,montmorency,A70,"Stalking, harassment and threatening behaviour",5.1
Banyule,3094,montmorency,A80,Dangerous and negligent acts endangering people,1.75
Banyule,3094,montmorency,B10,Arson,1.75
Banyule,3094,montmorency,B20,Property damage,26.9
Banyule,3094,montmorency,B30,Burglary/Break and enter,38.7
Banyule,3094,montmorency,B50,Deception,6.1111111111111125
Banyule,3094,montmorency,C10,Drug dealing and trafficking,1.2857142857142858
Banyule,3094,montmorency,C20,Cultivate or manufacture drugs,1.3333333333333333
Banyule,3094,montmorency,C30,Drug use and possession,4.777777777777779
Banyule,3094,montmorency,D10,Weapons and explosives offences,2.5
Banyule,3094,montmorency,D20,Disorderly and offensive conduct,4.4444444444444455
Banyule,3094,montmorency,D30,Public nuisance offences,1.5
Banyule,3094,montmorency,E10,Justice procedures,2.5
Banyule,3094,montmorency,E20,Breaches of orders,14.2
Banyule,3094,montmorency,F20,Transport regulation offences,1.2
Banyule,3094,montmorency,F90,Miscellaneous offences,1.0
Banyule,3094,montmorency,Other,crimes against the person,3.9
Banyule,3095,eltham,A20,Assault and related offences,1.5
Banyule,3095,eltham,B20,Property damage,1.0
Banyule,3095,eltham,B30,Burglary/Break and enter,1.0
Banyule,3095,eltham,B40,Theft,1.0
Banyule,3095,eltham,B50,Deception,1.0
Banyule,3095,eltham,E20,Breaches of orders,1.0
Banyule,3095,eltham,Other,crimes against the person,2.0
Banyule,3095,eltham north,A20,Assault and related offences,3.8
Banyule,3095,eltham north,A70,"Stalking, harassment and threatening behaviour",1.1666666666666667
Banyule,3095,eltham north,A80,Dangerous and negligent acts endangering people,1.0
Banyule,3095,eltham north,B10,Arson,1.3333333333333333
Banyule,3095,eltham north,B20,Property damage,4.8
Banyule,3095,eltham north,B30,Burglary/Break and enter,4.7
Banyule,3095,eltham north,B40,Theft,11.3
Banyule,3095,eltham north,B50,Deception,1.75
Banyule,3095,eltham north,C10,Drug dealing and trafficking,1.0
Banyule,3095,eltham north,C20,Cultivate or manufacture drugs,1.0
Banyule,3095,eltham north,C30,Drug use and possession,1.25
Banyule,3095,eltham north,D10,Weapons and explosives offences,1.0
Banyule,3095,eltham north,D30,Public nuisance offences,1.6666666666666667
Banyule,3095,eltham north,E10,Justice procedures,1.0
Banyule,3095,eltham north,E20,Breaches of orders,3.4285714285714284
Banyule,3095,eltham north,Other,crimes against the person,1.6666666666666667
Bayside,3186,brighton,A50,Robbery,5.5
Bayside,3186,brighton,A70,"Stalking, harassment and threatening behaviour",11.6
Bayside,3186,brighton,A80,Dangerous and negligent acts endangering people,4.3
Bayside,3186,brighton,B10,Arson,2.2222222222222223
Bayside,3186,brighton,B50,Deception,46.3
Bayside,3186,brighton,C10,Drug dealing and trafficking,4.3
Bayside,3186,brighton,C20,Cultivate or manufacture drugs,1.3333333333333333
Bayside,3186,brighton,C30,Drug use and possession,20.0
Bayside,3186,brighton,D10,Weapons and explosives offences,8.8
Bayside,3186,brighton,D20,Disorderly and offensive conduct,28.6
Bayside,3186,brighton,D30,Public nuisance offences,2.5
Bayside,3186,brighton,E10,Justice procedures,6.1
Bayside,3186,brighton,E20,Breaches of orders,33.5
Bayside,3186,brighton,F20,Transport regulation offences,2.0
Bayside,3186,brighton,F30,Other government regulatory offences,1.0
Bayside,3186,brighton,F90,Miscellaneous offences,26.5
Bayside,3186,brighton,Other,crimes against the person,16.8
Bayside,3187,brighton east,A20,Assault and related offences,26.6
Bayside,3187,brighton east,A50,Robbery,2.4285714285714284
Bayside,3187,brighton east,A70,"Stalking, harassment and threatening behaviour",5.5
Bayside,3187,brighton east,A80,Dangerous and negligent acts endangering people,3.0
Bayside,3187,brighton east,B10,Arson,2.1111111111111107
Bayside,3187,brighton east,B20,Property damage,47.1
Bayside,3187,brighton east,B50,Deception,19.1
Bayside,3187,brighton east,C10,Drug dealing and trafficking,3.375
Bayside,3187,brighton east,C20,Cultivate or manufacture drugs,2.0
Bayside,3187,brighton east,C30,Drug use and possession,9.7
Bayside,3187,brighton east,D10,Weapons and explosives offences,6.1
Bayside,3187,brighton east,D20,Disorderly and offensive conduct,7.2
Bayside,3187,brighton east,D30,Public nuisance offences,1.875
Bayside,3187,brighton east,E10,Justice procedures,4.571428571428571
Bayside,3187,brighton east,E20,Breaches of orders,21.7
Bayside,3187,brighton east,F90,Miscellaneous offences,14.5
Bayside,3187,brighton east,Other,crimes against the person,9.0
Bayside,3188,brighton east,A20,Assault and related offences,1.0
Bayside,3188,brighton east,B10,Arson,1.0
Bayside,3188,brighton east,B30,Burglary/Break and enter,1.0
Bayside,3188,brighton east,B40,Theft,1.3333333333333333
Bayside,3188,brighton east,D30,Public nuisance offences,1.0
Bayside,3188,brighton east,E20,Breaches of orders,1.0
Bayside,3188,brighton east,Other,crimes against the person,1.0
Bayside,3188,hampton east,A20,Assault and related offences,41.8
Bayside,3188,hampton east,A50,Robbery,2.0
Bayside,3188,hampton east,A70,"Stalking, harassment and threatening behaviour",5.3
Bayside,3188,hampton east,A80,Dangerous and negligent acts endangering people,2.142857142857143
Bayside,3188,hampton east,B10,Arson,2.7
Bayside,3188,hampton east,B20,Property damage,41.8
Bayside,3188,hampton east,B30,Burglary/Break and enter,43.0
Bayside,3188,hampton east,B50,Deception,13.4
Bayside,3188,hampton east,C10,Drug dealing and trafficking,1.8888888888888888
Bayside,3188,hampton east,C20,Cultivate or manufacture drugs,1.8
Bayside,3188,hampton east,C30,Drug use and possession,11.9
Bayside,3188,hampton east,C90,Other drug offences,2.5
Bayside,3188,hampton east,D10,Weapons and explosives offences,14.1
Bayside,3188,hampton east,D20,Disorderly and offensive conduct,12.2
Bayside,3188,hampton east,D30,Public nuisance offences,2.0
Bayside,3188,hampton east,E10,Justice procedures,3.7
Bayside,3188,hampton east,E20,Breaches of orders,39.5
Bayside,3188,hampton east,F90,Miscellaneous offences,16.5
Bayside,3188,hampton east,Other,crimes against the person,6.5
Bayside,3190,highett,A20,Assault and related offences,27.1
Bayside,3190,highett,A50,Robbery,2.4
Bayside,3190,highett,A70,"Stalking, harassment and threatening behaviour",5.1
Bayside,3190,highett,A80,Dangerous and negligent acts endangering people,2.8571428571428568
Bayside,3190,highett,B10,Arson,1.5
Bayside,3190,highett,B20,Property damage,34.2
Bayside,3190,highett,B30,Burglary/Break and enter,43.1
Bayside,3190,highett,B50,Deception,22.33333333333333
Bayside,3190,highett,C10,Drug dealing and trafficking,2.375
Bayside,3190,highett,C20,Cultivate or manufacture drugs,1.8571428571428568
Bayside,3190,highett,C30,Drug use and possession,13.1
Bayside,3190,highett,D10,Weapons and explosives offences,11.0
Bayside,3190,highett,D20,Disorderly and offensive conduct,9.4
Bayside,3190,highett,D30,Public nuisance offences,1.75
Bayside,3190,highett,E10,Justice procedures,3.2
Bayside,3190,highett,E20,Breaches of orders,25.6
