suburb,postcode,state,dc,type,lat,lon,No liquor_store,No police,No park
gladstone park,3043,VIC,NIDDRIE DC,Delivery Area,-37.68861,144.88362800000004,5.0,0.0,17.0
glen huntly,3163,VIC,BENTLEIGH EAST DC,Delivery Area,-37.889239,145.040629,4.0,0.0,10.0
glen iris,3146,VIC,BURWOOD DC,Delivery Area,-37.854687,145.067215,2.0,0.0,11.0
glen waverley,3150,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.877631,145.166222,5.0,0.0,9.0
glenroy,3046,VIC,PRESTON DC,Delivery Area,-37.704581,144.915758,4.0,0.0,10.0
gowanbrae,3043,VIC,NIDDRIE DC,Delivery Area,-37.706316,144.89488500000004,1.0,0.0,7.0
greensborough,3088,VIC,BUNDOORA DC,Delivery Area,-37.704622,145.103024,3.0,1.0,20.0
hadfield,3046,VIC,PRESTON DC,Delivery Area,-37.707238,144.93832,3.0,0.0,9.0
hallam,3803,VIC,DANDENONG DC,Delivery Area,-38.004302,145.269261,3.0,0.0,12.0
hampton east,3188,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.93360300000001,145.034175,4.0,1.0,20.0
hampton park,3976,VIC,CRANBOURNE DC,Delivery Area,-38.032221,145.26786299999995,6.0,0.0,20.0
hawthorn,3122,VIC,HAWTHORN DELIVERY CENTRE,Delivery Area,-37.834855,145.052097,7.0,1.0,13.0
hawthorn east,3123,VIC,HAWTHORN DELIVERY CENTRE,Delivery Area,-37.782254,145.001811,5.0,0.0,20.0
heatherton,3202,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.969954,145.21416399999995,1.0,0.0,9.0
heathmont,3135,VIC,MOOROOLBARK DC,Delivery Area,-37.830334,145.244356,2.0,0.0,15.0
heidelberg,3084,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.756341,145.06714499999995,5.0,1.0,16.0
heidelberg heights,3081,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.742268,145.048873,4.0,0.0,11.0
heidelberg west,3081,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.74944,145.0414,3.0,0.0,12.0
highett,3190,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.947848,145.034294,3.0,0.0,17.0
hillside,3037,VIC,ST ALBANS DC,Delivery Area,-37.691437,144.74002,1.0,0.0,15.0
hillside,3875,VIC,BAIRNSDALE,Delivery Area,-37.830936,147.47059099999996,0.0,0.0,0.0
