,place_id,crime_id,average_incident
7758,1,A50,4.7
7759,1,A70,4.777777777777779
7760,1,A80,1.75
7761,1,B10,1.8
7762,1,B20,53.0
7763,1,B30,73.2
7764,1,B40,228.4
7765,1,B50,45.9
7766,1,B60,1.0
7767,1,C10,3.0
7768,1,C20,2.0
7769,1,C30,13.3
7770,1,C90,1.0
7771,1,D10,10.1
7772,1,D20,24.7
7773,1,D30,2.8571428571428568
7774,1,E10,4.5
7775,1,E20,19.4
7776,1,F20,2.0
7777,1,F30,2.0
7778,1,F90,28.5
7779,1,Other,6.6
7780,2,A20,31.0
7781,2,A50,4.7
7782,2,A70,4.777777777777779
7783,2,A80,1.75
7784,2,B10,1.8
7785,2,B20,53.0
7786,2,B30,73.2
7787,2,B40,228.4
7788,2,B50,45.9
7789,2,B60,1.0
7790,2,C10,3.0
7791,2,C20,2.0
7792,2,C30,13.3
7793,2,C90,1.0
7794,2,D10,10.1
7795,2,D20,24.7
7796,2,D30,2.8571428571428568
7797,2,E10,4.5
7798,2,E20,19.4
7799,2,F20,2.0
7800,2,F30,2.0
7801,2,F90,28.5
7802,2,Other,6.6
7803,0,A20,1.5
7804,0,B20,1.0
7805,0,B30,1.0
7806,0,B40,1.0
7807,0,B50,1.0
7808,0,E20,1.0
7809,0,Other,2.0
7810,0,A20,52.1
7811,0,A50,3.5
7812,0,A70,11.3
7813,0,A80,4.3
7814,0,B10,4.7
7815,0,B20,91.6
7816,0,B30,77.8
7817,0,B40,229.7
7818,0,B50,33.7
7819,0,C10,2.6
7820,0,C20,1.7142857142857142
7821,0,C30,15.3
7822,0,C90,1.0
7823,0,D10,8.4
7824,0,D20,12.1
7825,0,D30,3.6
7826,0,E10,6.75
7827,0,E20,44.7
7828,0,F20,1.0
7829,0,F30,2.5
7830,0,F90,6.0
7831,0,Other,16.5
7832,1,A20,1.5
7833,1,B20,1.0
7834,1,B30,1.0
7835,1,B40,1.0
7836,1,B50,1.0
7837,1,E20,1.0
7838,1,Other,2.0
7839,1,A20,52.1
7840,1,A50,3.5
7841,1,A70,11.3
7842,1,A80,4.3
7843,1,B10,4.7
7844,1,B20,91.6
7845,1,B30,77.8
7846,1,B40,229.7
7847,1,B50,33.7
7848,1,C10,2.6
7849,1,C20,1.7142857142857142
7850,1,C30,15.3
7851,1,C90,1.0
7852,1,D10,8.4
7853,1,D20,12.1
7854,1,D30,3.6
